Country Name,Date,Total Population,Mobile subscribers,Health: mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
"""Congo, Dem. Rep.""",2000,"""49,626,200""","""15,000""",181,0,87,0.0003,4.46591,5.1985,Africa
Ethiopia,2000,"""65,577,897""","""17,757""",141,0,125,0.00027,4.82831,4.94876,Africa
Burundi,2000,"""6,374,347""","""16,320""",164,0,131,0.00256,4.8752,5.09987,Africa
Sierra Leone,2000,"""4,143,115""","""11,940""",233,0,153,0.00288,5.03044,5.45104,Africa
Malawi,2000,"""11,228,756""","""49,000""",167,0,155,0.00436,5.04343,5.11799,Africa
Niger,2000,"""10,922,421""","""2,056""",218,0,165,0.00019,5.10595,5.3845,Africa
Chad,2000,"""8,222,327""","""5,500""",190,0,168,0.00067,5.12396,5.24702,Africa
Eritrea,2000,"""3,667,576""",0,93,0,173,0,5.15329,4.5326,Africa
Guinea-Bissau,2000,"""1,240,655""",0,177,0,174,0,5.15906,5.17615,Africa
Liberia,2000,"""2,847,290""","""1,500""",169,0,186,0.00053,5.22575,5.1299,Africa
Burkina Faso,2000,"""12,294,012""","""25,245""",191,0,212,0.00205,5.35659,5.25227,Africa
Mali,2000,"""11,295,324""","""10,398""",213,0,214,0.00092,5.36598,5.36129,Africa
Rwanda,2000,"""8,098,344""","""39,000""",177,0,214,0.00482,5.36598,5.17615,Africa
Mozambique,2000,"""18,200,656""","""51,065""",177,0,233,0.00281,5.45104,5.17615,Africa
Madagascar,2000,"""15,364,272""","""63,094""",102,0,252,0.00411,5.52943,4.62497,Africa
Uganda,2000,"""24,213,120""","""126,913""",144,0,256,0.00524,5.54518,4.96981,Africa
Central African Republic,2000,"""3,701,607""","""4,967""",176,0,259,0.00134,5.55683,5.17048,Africa
Ghana,2000,"""19,165,490""","""130,045""",99,0,260,0.00679,5.56068,4.59512,Africa
Togo,2000,"""4,793,504""","""50,000""",124,2,270,0.01043,5.59842,4.82028,Africa
Tanzania,2000,"""34,038,161""","""110,518""",130,0,308,0.00325,5.7301,4.86753,Africa
Zambia,2000,"""10,201,562""","""98,853""",157,0,317,0.00969,5.7589,5.05625,Africa
