friend_id,age,checkins,school_level
816955,28,0,3
1005752,28,0,2
1223910,26,0,3
1801058,28,8,2
2235469,26,9,3
5304244,27,25,3
5500033,27,1,2
5500547,28,12,2
5500719,27,0,2
5501270,27,25,2
5501296,27,25,2
5501318,29,0,2
5501478,27,0,2
5501525,29,0,2
5501577,27,8,2
5501814,28,9,2
5501923,29,0,2
5502584,27,25,2
5502773,28,25,3
5503384,28,25,2
5503460,27,2,3
5503546,80,0,3
5504157,28,12,2
5504677,28,3,2
5505465,27,0,3
5505511,28,0,2
5505809,27,0,2
5505920,27,25,2
5506208,27,0,2
5506291,27,0,3
5507112,27,0,2
5507173,27,0,2
5507439,28,0,2
5507797,28,0,2
5508311,27,0,3
5508354,28,0,2
5508544,30,0,2
5509190,30,0,2
5510355,28,1,3
5510971,28,19,3
5511837,28,1,3
5512847,27,20,3
5513621,27,0,2
5514257,27,0,3
5514465,27,0,3
5514614,27,0,2
5515083,26,0,2
5515118,26,10,3
5515255,26,0,2
5517134,27,0,3
5517192,26,11,2
5517671,27,0,3
5518456,26,25,2
5518716,27,1,3
5519624,26,5,2
5520078,32,0,2
5524047,26,0,3
5526291,29,0,2
5801570,28,8,2
5801673,27,0,2
5803328,27,25,3
5803400,30,8,2
5804471,27,0,3
5805003,29,3,2
5805232,28,2,2
5806566,27,6,2
5806996,27,0,3
5807652,30,0,2
5808085,28,0,2
5810372,26,0,2
5812266,26,23,2
5812847,28,0,2
5813837,27,8,2
5814712,27,0,2
5815683,28,0,2
9023027,31,0,2
10202555,27,25,2
11301879,27,0,2
13306509,26,0,3
14601076,28,5,2
15003133,25,0,2
18206197,26,0,3
18604637,26,3,3
18604871,27,25,3
21420580,26,0,3
21502345,27,0,3
21604002,24,2,3
21706940,30,0,2
26902009,27,3,2
41900308,28,2,2
45300218,28,24,3
47402584,25,5,3
51901101,30,0,3
55003097,27,25,2
60201243,28,3,2
63000038,27,18,3
154000077,27,0,2
154000970,27,10,2
160400431,29,0,2
171500854,27,0,1
172700401,27,0,2
172700782,27,11,3
179700239,28,2,2
179700276,27,25,3
502095234,22,14,3
508145867,24,0,3
520604197,34,0,2
547702927,24,0,3
564667061,26,0,2
574238442,24,7,3
593978695,28,24,2
595540534,30,2,1
596425606,28,0,2
619872889,28,0,2
634581503,24,5,3
653609710,63,0,1
678893972,28,5,2
688340779,23,0,3
721296482,24,0,2
721585988,22,11,1
730571118,48,0,3
774795474,29,0,1
774845141,26,0,2
776222565,27,0,2
776583489,26,1,2
811117467,46,0,1
1004252581,37,25,2
1054590123,23,0,3
1118948225,43,25,2
1127160901,48,24,3
1128221240,33,0,1
1182420013,25,6,3
1197392862,28,0,2
1218720043,21,0,2
1218950115,108,0,2
1223622640,25,24,2
1262970090,23,0,3
1284090358,24,0,3
1312211573,24,0,3
1338000417,25,2,2
1354320036,25,25,2
1367960797,58,0,1
1383460742,24,25,1
1398691372,21,2,2
1446345180,28,0,2
1447248130,27,3,3
1466223277,31,1,1
1498191532,32,0,2
1538866572,22,0,3
1563510104,25,1,3
1575041729,20,0,2
1576577466,23,7,3
1616767248,58,12,1
1618801449,75,0,2
1656099147,21,0,2
1667982814,27,4,2
1717816745,60,0,2
1831224746,19,2,2
1848805704,26,0,1
100000026698117,30,0,1
100000158972699,31,1,2
100000161744796,23,5,3
100000342601270,23,0,3
100000432961523,25,6,2
100000461863082,28,25,3
100000542671059,35,0,2
100000663900438,45,0,2
100000845704649,27,0,1
100000882643261,28,0,1
100001090182752,28,0,1
100001753356494,28,0,1
100001958210794,28,1,2
100002228953769,27,0,2
100002246522263,62,1,1
100002256643949,55,0,2
100002401946822,26,0,1
100002643598078,29,21,3
100002733297297,23,0,3
100002751285253,29,4,2
100003204013917,40,0,3
